api_id,status,hitool_symbol,test_evidence,notes
"cn.hutool.core.codec::Base62Codec::encode#byte[] (byte[] data, boolean useInverted)",idiomatic,"hitool_core::{Base62Encoder,Base62Decoder,base62_encode_text,base62_decode_text,base62_encode_file,base62_decode_to_file}",crates/hitool-core/src/radix_codec.rs::text_stream_file_and_bcd_overloads_are_bounded_and_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base62Codec::decode#byte[] (byte[] encoded),idiomatic,"hitool_core::{Base62Encoder,Base62Decoder,base62_encode_text,base62_decode_text,base62_encode_file,base62_decode_to_file}",crates/hitool-core/src/radix_codec.rs::text_stream_file_and_bcd_overloads_are_bounded_and_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base62Codec::decode#byte[] (byte[] encoded, boolean useInverted)",idiomatic,"hitool_core::{Base62Encoder,Base62Decoder,base62_encode_text,base62_decode_text,base62_encode_file,base62_decode_to_file}",crates/hitool-core/src/radix_codec.rs::text_stream_file_and_bcd_overloads_are_bounded_and_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Caesar#,idiomatic,"hitool_core::{caesar_encode,caesar_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Caesar::encode#String (String message, int offset)",idiomatic,"hitool_core::{caesar_encode,caesar_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Caesar::decode#String (String cipherText, int offset)",idiomatic,"hitool_core::{caesar_encode,caesar_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Hashids#,idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Hashids::create#Hashids (final char[] salt),idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Hashids::create#Hashids (final char[] salt, final int minLength)",idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Hashids::create#Hashids (final char[] salt, final char[] alphabet, final int minLength)",idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Hashids::Hashids#(final char[] salt, final char[] alphabet, final int minLength)",idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Hashids::encodeFromHex#String (final String hexNumbers),idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Hashids::encode#String (final long... numbers),idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Hashids::decodeToHex#String (final String hash),idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Hashids::decode#long[] (final String hash),idiomatic,hitool_core::HashIds,crates/hitool-core/src/advanced_codec.rs::hashids_support_numbers_hex_and_custom_alphabet,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Morse#,idiomatic,hitool_core::MorseCodec,crates/hitool-core/src/advanced_codec.rs::morse_handles_dictionary_custom_markers_and_unicode_fallback,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Morse::Morse#(),idiomatic,hitool_core::MorseCodec,crates/hitool-core/src/advanced_codec.rs::morse_handles_dictionary_custom_markers_and_unicode_fallback,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Morse::Morse#(char dit, char dah, char split)",idiomatic,hitool_core::MorseCodec,crates/hitool-core/src/advanced_codec.rs::morse_handles_dictionary_custom_markers_and_unicode_fallback,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Morse::encode#String (String text),idiomatic,hitool_core::MorseCodec,crates/hitool-core/src/advanced_codec.rs::morse_handles_dictionary_custom_markers_and_unicode_fallback,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Morse::decode#String (String morse),idiomatic,hitool_core::MorseCodec,crates/hitool-core/src/advanced_codec.rs::morse_handles_dictionary_custom_markers_and_unicode_fallback,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::PunyCode#,idiomatic,"hitool_core::{punycode_encode_prefixed,punycode_decode,idna_encode_domain,idna_decode_domain}",crates/hitool-core/src/advanced_codec.rs::punycode_and_idna_round_trip,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::PunyCode::encodeDomain#String (String domain),idiomatic,"hitool_core::{punycode_encode_prefixed,punycode_decode,idna_encode_domain,idna_decode_domain}",crates/hitool-core/src/advanced_codec.rs::punycode_and_idna_round_trip,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::PunyCode::encode#String (CharSequence input),idiomatic,"hitool_core::{punycode_encode_prefixed,punycode_decode,idna_encode_domain,idna_decode_domain}",crates/hitool-core/src/advanced_codec.rs::punycode_and_idna_round_trip,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::PunyCode::encode#String (CharSequence input, boolean withPrefix)",idiomatic,"hitool_core::{punycode_encode_prefixed,punycode_decode,idna_encode_domain,idna_decode_domain}",crates/hitool-core/src/advanced_codec.rs::punycode_and_idna_round_trip,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::PunyCode::decodeDomain#String (String domain),idiomatic,"hitool_core::{punycode_encode_prefixed,punycode_decode,idna_encode_domain,idna_decode_domain}",crates/hitool-core/src/advanced_codec.rs::punycode_and_idna_round_trip,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::PunyCode::decode#String (String input),idiomatic,"hitool_core::{punycode_encode_prefixed,punycode_decode,idna_encode_domain,idna_decode_domain}",crates/hitool-core/src/advanced_codec.rs::punycode_and_idna_round_trip,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Rot#,idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Rot::encode13#String (String message),idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Rot::encode13#String (String message, boolean isEncodeNumber)",idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Rot::encode#String (String message, int offset, boolean isEncodeNumber)",idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Rot::decode13#String (String rot),idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Rot::decode13#String (String rot, boolean isDecodeNumber)",idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Rot::decode#String (String rot, int offset, boolean isDecodeNumber)",idiomatic,"hitool_core::{rot_encode,rot_decode}",crates/hitool-core/src/advanced_codec.rs::classical_codecs_are_reversible,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base16Codec#,idiomatic,hitool_core::Base16Codec,crates/hitool-core/src/hutool_codec.rs::base16_matches_hutool_whitespace_odd_length_and_unicode_rules,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base16Codec::Base16Codec#(boolean lowerCase),idiomatic,hitool_core::Base16Codec,crates/hitool-core/src/hutool_codec.rs::base16_matches_hutool_whitespace_odd_length_and_unicode_rules,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base16Codec::encode#char[] (byte[] data),idiomatic,hitool_core::Base16Codec,crates/hitool-core/src/hutool_codec.rs::base16_matches_hutool_whitespace_odd_length_and_unicode_rules,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base16Codec::decode#byte[] (CharSequence encoded),idiomatic,hitool_core::Base16Codec,crates/hitool-core/src/hutool_codec.rs::base16_matches_hutool_whitespace_odd_length_and_unicode_rules,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base16Codec::toUnicodeHex#String (char ch),idiomatic,hitool_core::Base16Codec,crates/hitool-core/src/hutool_codec.rs::base16_matches_hutool_whitespace_odd_length_and_unicode_rules,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base16Codec::appendHex#void (StringBuilder builder, byte b)",idiomatic,hitool_core::Base16Codec,crates/hitool-core/src/hutool_codec.rs::base16_matches_hutool_whitespace_odd_length_and_unicode_rules,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base64#,idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encode#byte[] (byte[] arr, boolean lineSep)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encodeUrlSafe#byte[] (byte[] arr, boolean lineSep)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base64::encode#String (CharSequence source),idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
cn.hutool.core.codec::Base64::encodeUrlSafe#String (CharSequence source),idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encode#String (CharSequence source, String charset)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encodeWithoutPadding#String (CharSequence source, String charset)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encodeUrlSafe#String (CharSequence source, String charset)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encode#String (CharSequence source, Charset charset)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
"cn.hutool.core.codec::Base64::encodeUrlSafe#String (CharSequence source, Charset charset)",idiomatic,"hitool_core::{base64_encode_config,base64_decode_tolerant,base64_encode_text,base64_decode_text}",crates/hitool-core/src/hutool_codec.rs::base64_supports_hutool_variants_and_tolerant_decoding,Hutool overloads are consolidated into typed Rust APIs; official Hutool vectors are asserted.
